"alias","index","complete_gene_name","gene_symbol"
"ACR",41,"acrosin","ACR"
"ACONM",42,"aconitase 2","ACO2"
"HEL-S-284",42,"aconitase 2","ACO2"
"ICRD",42,"aconitase 2","ACO2"
"OCA8",42,"aconitase 2","ACO2"
"OPA9",42,"aconitase 2","ACO2"
"ACO2",42,"aconitase 2","ACO2"
"D11S4365",48,"acrosomal vesicle protein 1","ACRV1"
"SP-10",48,"acrosomal vesicle protein 1","ACRV1"
"SPACA2",48,"acrosomal vesicle protein 1","ACRV1"
"ACRV1",48,"acrosomal vesicle protein 1","ACRV1"
"A2aR",115,"adenosine A2a receptor","ADORA2A"
"ADORA2",115,"adenosine A2a receptor","ADORA2A"
"RDC8",115,"adenosine A2a receptor","ADORA2A"
"ADORA2A",115,"adenosine A2a receptor","ADORA2A"
"ADRBK2",134,"G protein-coupled receptor kinase 3","GRK3"
"BARK2",134,"G protein-coupled receptor kinase 3","GRK3"
"GRK3",134,"G protein-coupled receptor kinase 3","GRK3"
"AMPS",135,"adenylosuccinate lyase","ADSL"
"ASASE",135,"adenylosuccinate lyase","ADSL"
"ASL",135,"adenylosuccinate lyase","ADSL"
"ADSL",135,"adenylosuccinate lyase","ADSL"
"ADTB1",139,"adaptor related protein complex 1 subunit beta 1","AP1B1"
"AP105A",139,"adaptor related protein complex 1 subunit beta 1","AP1B1"
"BAM22",139,"adaptor related protein complex 1 subunit beta 1","AP1B1"
"CLAPB2",139,"adaptor related protein complex 1 subunit beta 1","AP1B1"
"KIDAR",139,"adaptor related protein complex 1 subunit beta 1","AP1B1"
"AP1B1",139,"adaptor related protein complex 1 subunit beta 1","AP1B1"
"ASA",346,"arylsulfatase A","ARSA"
"MLD",346,"arylsulfatase A","ARSA"
"ARSA",346,"arylsulfatase A","ARSA"
"ARVCF",357,"ARVCF delta catenin family member","ARVCF"
"ASLL",368,"argininosuccinate lyase pseudogene 1","ASLP1"
"ASLP1",368,"argininosuccinate lyase pseudogene 1","ASLP1"
"CREB-2",390,"activating transcription factor 4","ATF4"
"CREB2",390,"activating transcription factor 4","ATF4"
"TAXREB67",390,"activating transcription factor 4","ATF4"
"TXREB",390,"activating transcription factor 4","ATF4"
"ATF4",390,"activating transcription factor 4","ATF4"
"ATF4P",391,"activating transcription factor 4 pseudogene 1","ATF4P1"
"TAXREB67P",391,"activating transcription factor 4 pseudogene 1","ATF4P1"
"TXREBP",391,"activating transcription factor 4 pseudogene 1","ATF4P1"
"ATF4P1",391,"activating transcription factor 4 pseudogene 1","ATF4P1"
"ARCL2C",438,"ATPase H+ transporting V1 subunit E1","ATP6V1E1"
"ATP6E",438,"ATPase H+ transporting V1 subunit E1","ATP6V1E1"
"ATP6E2",438,"ATPase H+ transporting V1 subunit E1","ATP6V1E1"
"ATP6V1E",438,"ATPase H+ transporting V1 subunit E1","ATP6V1E1"
"P31",438,"ATPase H+ transporting V1 subunit E1","ATP6V1E1"
"Vma4",438,"ATPase H+ transporting V1 subunit E1","ATP6V1E1"
"ATP6V1E1",438,"ATPase H+ transporting V1 subunit E1","ATP6V1E1"
"ALL",501,"BCR activator of RhoGEF and GTPase","BCR"
"BCR1",501,"BCR activator of RhoGEF and GTPase","BCR"
"CML",501,"BCR activator of RhoGEF and GTPase","BCR"
"D22S11",501,"BCR activator of RhoGEF and GTPase","BCR"
"D22S662",501,"BCR activator of RhoGEF and GTPase","BCR"
"PHL",501,"BCR activator of RhoGEF and GTPase","BCR"
"BCR",501,"BCR activator of RhoGEF and GTPase","BCR"
"BCR-4",502,"BCR pseudogene 4","BCRP4"
"BCR4",502,"BCR pseudogene 4","BCRP4"
"BCRL4",502,"BCR pseudogene 4","BCRP4"
"BCRP4",502,"BCR pseudogene 4","BCRP4"
"FP497",519,"BH3 interacting domain death agonist","BID"
"BID",519,"BH3 interacting domain death agonist","BID"
"BIP1",520,"BCL2 interacting killer","BIK"
"BP4",520,"BCL2 interacting killer","BIK"
"NBK",520,"BCL2 interacting killer","BIK"
"BIK",520,"BCL2 interacting killer","BIK"
"BPBS",577,"translocator protein","TSPO"
"BZRP",577,"translocator protein","TSPO"
"DBI",577,"translocator protein","TSPO"
"IBP",577,"translocator protein","TSPO"
"MBR",577,"translocator protein","TSPO"
"PBR",577,"translocator protein","TSPO"
"PBS",577,"translocator protein","TSPO"
"PKBS",577,"translocator protein","TSPO"
"PTBR",577,"translocator protein","TSPO"
"mDRC",577,"translocator protein","TSPO"
